Event Receive Time,Event ID,Event Type,Event Name,Incident Reporting Device,Incident Source,Source IP,Source TCP/UDP Port,Incident Target,Destination IP,Destination TCP/UDP Port,Event Severity Category,Event Severity,Count
2020-07-13 17:36:00,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.184.55.29,",10.184.55.29,,"destIpAddr:120.126.198.60, destIpPort:23,",120.126.198.60,,HIGH,9,1
2020-07-13 17:36:00,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.181.248.218,",10.181.248.218,,"destIpAddr:120.126.145.113, destIpPort:23,",120.126.145.113,,HIGH,9,1
2020-07-13 17:36:00,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.94.140.75,",10.94.140.75,,"destIpAddr:120.126.204.60, destIpPort:23,",120.126.204.60,,HIGH,9,1
2020-07-13 17:36:00,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:192.168.1.21,",192.168.1.21,,"destIpAddr:120.126.189.216, destIpPort:23,",120.126.189.216,,HIGH,9,1
2020-07-13 17:36:00,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:172.16.45.56,",172.16.45.56,,"destIpAddr:120.126.186.173, destIpPort:23,",120.126.186.173,,HIGH,9,1
2020-07-13 17:36:00,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:172.16.46.99,",172.16.46.99,,"destIpAddr:120.126.142.126, destIpPort:23,",120.126.142.126,,HIGH,9,1
2020-07-13 17:36:00,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.189.181.217,",10.189.181.217,,"destIpAddr:120.126.198.60, destIpPort:23,",120.126.198.60,,HIGH,9,1
2020-07-13 17:36:00,,PH_RULE_EXCESS_DENY_EXT_COUNTRY,Excessive Denied Connections From An External Country,"Sonicwall,paloalto","srcGeoCountry:Hong Kong,",,,,,,MEDIUM,7,921
2020-07-13 17:36:00,,PH_RULE_ANOMALY_INCREASING_EPS,Sudden Increase in Reported Events From A Host,paloalto,,,,"hostName:paloalto, hostIpAddr:10.204.1.13,",,,MEDIUM,7,602
2020-07-13 17:36:00,,PH_RULE_NO_LOGS_FROM_DEVICE,No logs from a device,NTPU-FortiSIEM-01,,,,"hostIpAddr:120.126.124.8,",,,MEDIUM,8,280
2020-07-13 17:36:00,,PH_RULE_NO_LOGS_FROM_DEVICE,No logs from a device,NTPU-FortiSIEM-01,,,,"hostIpAddr:120.126.192.133,",,,MEDIUM,8,65
2020-07-13 17:36:00,,PH_RULE_CLEARTEXT_PWD_OUTBOUND,Outbound cleartext password usage detected,paloalto,"srcIpAddr:10.19.109.184,",10.19.109.184,,"destIpAddr:120.126.205.233, destIpPort:23,",120.126.205.233,,HIGH,9,1
